# Each line has information on a detected BGP prefix hijacking
# Format: Comma-separated columns
# Column 1: AS responsible for the hijacking
# Column 2: AS victim of the hijacking
# Column 3: Hijacking start date and time
# Column 4: Hijacking end date and time
# Missing end time indicates that the hijack has persisted
38444,92937,08/10/18 13:10,22/10/18 10:15
17439,6453,08/10/18 11:05,09/10/18 19:49
17439,6453,08/10/18 11:05,09/10/18 19:49
9597,45903,07/10/18 17:52,16/10/18 10:30
57335,266400,07/10/18 17:44,07/10/18 17:46
210162,203735,07/10/18 13:24,08/10/18 12:18
53209,10105,06/10/18 20:12,20/10/18 04:02
53209,10105,06/10/18 20:12,20/10/18 04:02
3741,1,06/10/18 17:57,06/10/18 17:59
203459,3,06/10/18 10:40,06/10/18 12:37
38320,4,06/10/18 07:48,06/10/18 16:58
131610,136162,04/05/18 10:13,09/05/18 18:20
50245,35415,06/10/18 07:01,06/10/18 07:11
262254,35415,06/10/18 07:01,06/10/18 07:02
44546,35415,06/10/18 07:00,06/10/18 07:11
48511,35415,06/10/18 07:00,06/10/18 07:04
7713,262589,05/10/18 20:53,18/10/18 14:39
7713,27724,05/10/18 19:25,05/10/18 20:51
137550,64018,04/05/18 12:12,16/05/18 14:25
137550,64018,04/05/18 12:12,16/05/18 14:25
206451,202375,05/10/18 01:39,05/10/18 01:44
35994,55644,04/05/18 13:38,18/05/18 02:02
206451,202375,05/10/18 01:39,05/10/18 01:44
266390,3549,04/10/18 18:43,04/10/18 18:51
266390,3549,04/10/18 18:43,04/10/18 18:50
49453,50896,04/10/18 17:05,18/10/18 03:16
132233,6453,04/05/18 16:33,15/05/18 10:01
201017,198949,04/10/18 11:42,08/10/18 11:09
137975,6453,04/10/18 11:20,04/10/18 11:55
27176,9498,04/10/18 10:56,04/10/18 14:25
8851,3549,04/05/18 17:35,04/05/18 17:40
8402,2147483647,04/05/18 18:21,
8402,2147483647,04/05/18 18:21,
206751,15701,04/05/18 18:29,04/05/18 18:33
131297,9498,04/10/18 10:56,04/10/18 14:25
131297,9498,04/10/18 10:56,04/10/18 14:25
266117,262713,04/05/18 20:12,08/05/18 01:33
10112,9498,04/10/18 10:56,04/10/18 14:25
10112,9498,04/10/18 10:56,04/10/18 14:25
20473,9498,04/10/18 10:56,04/10/18 14:25
27176,9498,04/10/18 10:56,04/10/18 14:25
20473,9498,04/10/18 10:56,04/10/18 14:25
